county,subcounty,ward,lat,lon,altitude,annual_Rain,annual_Temp,ke_elev,ke_ph,LR_Rain,LR_Temp,SR_Rain,SR_Temp
Bomet,Chepalungu Sub County,Siongiroi Ward,-0.892419772,35.20540355,1840.116089,1240,18.17133331,1843,5.800000191,778,18.12685776,462,18.23360062
Kiambu,Gatundu North Sub County,Githobokoni Ward,-0.892428177,36.7402571,2253.495361,1611,14.08799934,2263,5.159999847,1050,13.91485691,561,14.33039951
Kiambu,Gatundu North Sub County,Gituamba Ward,-0.898700297,36.8500774,1925.365112,1555,17.03666687,1895,5.389999866,1002,16.89771461,553,17.23119926
Kisii,Bomachoge Borabu Sub County,BOMBABA BORABU,-0.901017201,34.77922696,1773.899536,1753,18.99766731,1758,5.480000019,1090,18.93485641,663,19.0855999
Nakuru,Naivasha  Sub County,Olkaria Ward,-0.90194479,36.34220635,2005.232666,720,16.38733292,1992,6.989999771,458,16.22628593,262,16.6128006
Muranga,Kandara Sub County,Kagundu-ini Ward,-0.903530144,37.06312918,1514.926147,1146,19.41233253,1533,5.760000229,691,19.2514286,455,19.63759995
Kisii,South Mugirango Sub County,Borabu Chitago Ward,-0.904856066,34.67160138,1581.151489,1699,19.48033333,1597,5.519999981,1050,19.40857124,649,19.58080101
Kisii,Bomachoge Borabu Sub County,Bokimonge Ward,-0.905205562,34.74523066,1772.132568,1744,19.18966675,1804,5.429999828,1079,19.12285614,665,19.28319931
Narok,Narok North Sub County,Melili Ward,-0.905293389,35.98288745,2416.351563,976,14.20166683,2441,5.960000038,624,14.10971451,352,14.33039951
Kisii,South Mugirango Sub County,Moticho Ward,-0.905927685,34.63276766,1551.850708,1601,20.08033371,1534,5.550000191,993,20.01028633,608,20.17840004
Migori,Nyatike Sub County,North Kadem Ward,-0.907200277,34.25128003,1177.537109,1160,22.36033249,1186,6.570000172,705,22.23428535,455,22.53680038
Muranga,Muranga South Sub County,Makuyu Ward,-0.907446351,37.24359053,1416.681885,994,19.88266754,1441,5.78000021,569,19.70114326,425,20.13680077
Kisii,Bomachoge Borabu Sub County,BOOCHI BORABU,-0.90878436,34.80769683,1835.066406,1739,18.71433258,1801,5.519999981,1083,18.66285706,656,18.78639984
Muranga,Gatanga Sub County,Gatanga Ward,-0.912459846,36.92423524,1774.004272,1455,18.01066589,1789,5.550000191,916,17.8582859,539,18.22400093
Bomet,Bomet East Sub County,Kipreres  Ward,-0.92156686,35.38466768,1851.697754,1023,18.04066658,1861,6.53000021,638,17.98457146,385,18.11919975
KITUI,Mwingi Central Sub- County,Kivou Ward,-0.925843223,38.13370932,878.1548462,736,22.23466682,893,6.46999979,298,22.04628563,438,22.49839973
Muranga,Gatanga Sub County,Kihumbu-ini Ward,-0.926290312,36.97853905,1645.79187,1271,18.93033409,1663,5.739999771,786,18.77428627,485,19.1487999
Narok,Narok South Sub County,Ololulung'a Ward,-0.928218786,35.71058462,2000.404785,902,16.18066597,1999,6.239999771,582,16.0714283,320,16.33359909
Muranga,Kandara Sub County,Muruka Ward,-0.930172744,37.06109227,1566.382446,1091,19.51533318,1514,5.670000076,649,19.36057091,442,19.73200035
Kisii,Bomachoge Borabu Sub County,Magenche Ward,-0.930850941,34.72438168,1839.372925,1737,18.78633308,1841,5.480000019,1069,18.72228622,668,18.87599945
Migori,Awendo Sub County,South Sakwa Ward,-0.930851873,34.56037397,1434.327026,1468,20.54266739,1451,5.559999943,898,20.4657135,570,20.65040016
TANA RIVER,Bura Sub County,Chewele Ward,-0.931208697,39.71954708,155,435,27.8496666,156,7.829999924,197,27.73028564,238,28.01679993
Kisii,South Mugirango Sub County,Getenga Ward,-0.931934782,34.65137969,1611.023193,1608,19.85366631,1638,5.460000038,988,19.78342819,620,19.95199966
Muranga,Kandara Sub County,Ng'araria Ward,-0.934748477,37.02695851,1590.293457,1178,19.33699989,1578,5.730000019,717,19.18857193,461,19.5447998
Narok,Transmara East Sub County,Ololmasani Ward,-0.941182551,35.053555,1795.901489,1393,18.50500107,1804,5.820000172,873,18.44971466,520,18.58239937
Muranga,Muranga South Sub County,Kimorori/wempa Ward,-0.942019866,37.16495266,1463.46936,991,19.67233276,1459,5.789999962,568,19.50628471,423,19.90480042
Machakos,Masinga Sub County,Muthesya Ward,-0.942115678,37.40135225,1114.239136,826,21.20833397,1111,6.159999847,445,21.03257179,381,21.45440102
Migori,Uriri Sub County,Central Kanyamkago Ward,-0.942192291,34.47438978,1441.897095,1421,20.85366631,1447,5.760000229,860,20.76399994,561,20.97920036
Bomet,Chepalungu Sub County,Sigor Ward,-0.942283921,35.2941242,1807.447998,1099,18.1760006,1802,6.440000057,687,18.12228584,412,18.25119972
Migori,Uriri Sub County,West Kanyamkago Ward,-0.944793091,34.39290951,1407.697266,1337,21.42833328,1370,5.849999905,806,21.32742882,531,21.56959915
Narok,Narok North Sub County,Nkareta Ward,-0.946395617,35.81140512,2039.571289,893,15.92000008,2046,6.210000038,582,15.80457115,311,16.08160019
Kiambu,Gatundu South Sub County,Ndarugu Ward,-0.946498597,36.81177319,1962.7771,1542,16.62700081,1933,5.400000095,1001,16.46971512,541,16.84720039
Machakos,Masinga Sub County,Kivaa Ward,-0.952075115,37.76399257,1041.280396,733,21.87766647,1046,6.190000057,335,21.7131424,398,22.1079998
Kiambu,Gatundu North Sub County,Chania Ward,-0.961885836,36.94135495,1656.450317,1227,18.87366676,1664,5.769999981,762,18.72057152,465,19.08799934
Machakos,Masinga Sub County,Masinga Central Ward,-0.965128964,37.64417598,1140.738403,737,21.51766586,1140,6.46999979,346,21.35199928,391,21.74959946
Kiambu,Lari Sub County,Kijabe Ward,-0.967110553,36.65023831,2433.09082,1432,14.03199959,2400,5.46999979,924,13.80971432,508,14.34319973
Bomet,Chepalungu Sub County,Chebunyo Ward,-0.970950846,35.20929204,1781.240356,1132,18.46299934,1801,6.329999924,703,18.41771507,429,18.52639961
Kiambu,Gatundu South Sub County,Kiganjo Ward,-0.971774194,36.78704291,1970.974976,1459,16.23133278,1978,5.639999866,949,16.05085754,510,16.48399925
KITUI,Mwingi West Sub County,Kyome/thaana Ward,-0.975302985,37.91127819,1069.406372,768,21.60533333,1071,6.409999847,337,21.44114304,431,21.83519936
Migori,Nyatike Sub County,Macalder/kanyarwanda Ward,-0.978455948,34.30760573,1198.582886,1176,22.01466751,1230,6.25,714,21.89714241,462,22.17919922
Migori,Uriri Sub County,South Kanyamkago Ward,-0.979345091,34.52843565,1456.258301,1424,20.63233376,1463,5.650000095,858,20.54685783,566,20.75200081
Narok,Narok West Sub County,Ilmotiook Ward,-0.980976917,35.49841012,1953.395264,992,17.36499977,1960,6.630000114,626,17.26571465,366,17.50399971
Muranga,Gatanga Sub County,Ithanga Ward,-0.985323393,37.33071001,1323.555054,924,20.11666679,1302,5.829999924,504,19.94057083,420,20.36319923
KITUI,Mwingi Central Sub- County,Central Ward,-0.985631996,38.10281097,942.4658203,767,21.75733376,938,6.360000134,315,21.56971359,452,22.02000046
Muranga,Gatanga Sub County,Mugumo-ini Ward,-0.986777288,37.03472747,1536.07959,1083,19.64033318,1542,5.980000019,653,19.50399971,430,19.83119965
Kiambu,Gatundu North Sub County,Mang'u Ward,-0.989656151,36.96022274,1621.553711,1158,19.39333344,1608,5.800000191,713,19.25942802,445,19.58080101
Kiambu,Lari Sub County,Nyanduma Ward,-0.99331937,36.73043359,2128.791748,1450,15.25666618,2108,5.75,942,15.06285667,508,15.52799988
Narok,Transmara East Sub County,Kapsasian Ward,-0.993879332,35.14950808,1833.03772,1265,18.27600098,1837,5.96999979,786,18.22171402,479,18.35199928
Machakos,Masinga Sub County,Ekalakala Ward,-0.998761234,37.45826732,1095.146484,756,21.77566719,1077,6.260000229,393,21.59885788,363,22.02320099
